,id,company,industries,hq,founded date,last funding date,last funding amount,last funding type,total funding amount,status
6426,6426,StyleWe.com,"Commerce and Shopping, Clothing and Apparel, Design","United States, North America",1/1/14,6/28/16,15000000,Series A,15161776,Operating
6427,6427,StrongLoop,"Software, Transportation, Education","San Mateo, California, United States",1/1/13,9/18/13,8000000,Series A,9000000,Was Acquired
6428,6428,STRIVR Labs,"Hardware, Information Technology, Software, Sports, Education","Menlo Park, California, United States",1/1/15,12/14/16,5000000,Series A,5000000,Operating
6429,6429,Strevus,"Software, Professional Services","New York, New York, United States",1/1/12,2/19/14,5600000,Series A,5600000,Operating
6430,6430,Stratifyd,"Information Technology, Data and Analytics, Software, Artificial Intelligence, Design","Charlotte, North Carolina, United States",1/15/15,7/11/17,5900000,Series A,10300000,Operating
6431,6431,Strata Oncology,Health Care,"Ann Arbor, Michigan, United States",1/1/15,6/1/16,12000000,Series A,12000000,Operating
6432,6432,Strainz,"Information Technology, Administrative Services, Transportation, Privacy and Security","Las Vegas, Nevada, United States",11/1/13,4/4/16,6000000,Series A,8000000,Operating
6433,6433,Storybird,"Media and Entertainment, Education, Content and Publishing","Brooklyn, New York, United States",1/1/12,8/1/13,2500000,Series A,2500000,Operating
6434,6434,Storehouse,"Platforms, Media and Entertainment, Software, Internet Services, Video, Content and Publishing, Mobile","San Francisco, California, United States",1/1/13,5/22/14,7000000,Series A,8500000,Was Acquired
6435,6435,StockX,"Commerce and Shopping, Clothing and Apparel, Consumer Goods, Internet Services","Detroit, Michigan, United States",1/1/12,2/15/17,6000000,Series A,6000000,Operating
6436,6436,Stiletto Manufacturing,"Manufacturing, Sports","Columbia, North Carolina, United States",1/1/15,7/7/17,12500000,Series A,12500000,Operating
6437,6437,StemoniX,"Biotechnology, Science and Engineering, Health Care","San Diego, California, United States",1/1/14,2/1/17,6000000,Series A,8500000,Operating
6438,6438,Stem Disintermedia,"Media and Entertainment, Music and Audio, Professional Services, Video, Financial Services","Los Angeles, California, United States",2/13/15,6/7/17,8000000,Series A,12500000,Operating
6439,6439,Stem Cell Theranostics,Health Care,"Redwood City, California, United States",1/1/13,1/1/14,5500000,Series A,5500000,Operating
6440,6440,Steel Wool Studios,"Gaming, Hardware, Media and Entertainment, Software","Oakland, California, United States",1/1/12,8/31/16,5000000,Series A,5000000,Operating
6441,6441,StayNTouch,"Software, Internet Services, Mobile","Bethesda, Maryland, United States",9/1/12,2/3/16,9500000,Series A,12200000,Operating
6442,6442,Stateless Networks,Software,"San Francisco, California, United States",1/1/12,7/30/14,3800000,Series A,6500000,Operating
6443,6443,Startup Institute,Education,"Boston, Massachusetts, United States",2/1/12,9/15/14,3000000,Series A,4300000,Operating
6444,6444,"Starburst Labs, Inc.","Apps, Information Technology, Software, Internet Services, Financial Services","New York, New York, United States",1/1/12,1/17/17,6250000,Series A,10250000,Operating
6445,6445,Stanson Health,"Data and Analytics, Health Care","Los Angeles, California, United States",1/1/13,5/26/15,3000000,Series A,3000000,Operating
6446,6446,Stadium Goods,"Commerce and Shopping, Sports, Clothing and Apparel, Design","New York, New York, United States",1/1/15,1/12/17,4600000,Series A,5600000,Operating
6447,6447,StackRox,"Software, Internet Services, Privacy and Security","Mountain View, California, United States",11/1/14,7/18/17,14000000,Series A,14000000,Operating
6448,6448,StackEngine,"Hardware, Information Technology, Software","Austin, Texas, United States",1/1/14,5/1/15,3500000,Series A,4500000,Was Acquired
6449,6449,Spyryx Biosciences,"Biotechnology, Health Care","North Carolina, United States, North America",1/1/13,5/7/15,18172000,Series A,18187000,Operating
6450,6450,Spry Health,Health Care,"Palo Alto, California, United States",1/1/13,6/15/17,5500000,Series A,5500000,Operating
6451,6451,Spruce Holdings,"Real Estate, Financial Services","New York, New York, United States",1/1/16,5/26/17,4500000,Series A,4500000,Operating
6452,6452,Spruce Health,"Information Technology, Sports, Health Care","San Francisco, California, United States",1/1/13,3/21/15,15000000,Series A,17000000,Operating
6453,6453,Springbuk,"Data and Analytics, Health Care","Indianapolis, Indiana, United States",1/1/15,5/19/16,3750000,Series A,3750000,Operating
6454,6454,Spotluck,"Gaming, Food and Beverage, Software","Bethesda, Maryland, United States",3/1/14,5/16/17,4800000,Series A,8600000,Operating
6455,6455,Spotinst,"Hardware, Software, Internet Services","San Francisco, California, United States",2/1/15,7/2/17,15000000,Series A,17600000,Operating
6456,6456,Spot.IM,"Media and Entertainment, Information Technology, Community and Lifestyle, Software, Internet Services, Messaging and Telecommunications, Mobile","New York, New York, United States",3/4/12,8/3/16,13000000,Series A,13000000,Operating
6457,6457,Sportsman Tracker,Information Technology,"Indianapolis, Indiana, United States",1/1/12,7/8/16,950000,Series A,1900000,Operating
6458,6458,Sports Defense,,"Minneapolis, Minnesota, United States",5/1/17,5/14/17,3000000,Series A,4000000,Operating
6459,6459,SpoonRocket,"Travel and Tourism, Food and Beverage, Administrative Services","Berkeley, California, United States",1/1/13,5/15/14,11000000,Series A,13500000,Was Acquired
6460,6460,Split Software,"Apps, Software","Redwood City, California, United States",10/15/15,1/18/17,8000000,Series A,9800000,Operating
6461,6461,Spin,"Apps, Software, Transportation, Mobile","San Francisco, California, United States",11/1/16,5/24/17,8000000,Series A,8000000,Operating
6462,6462,Spikes Security,"Information Technology, Privacy and Security","Los Gatos, California, United States",7/1/12,10/22/14,11000000,Series A,13400000,Was Acquired
6463,6463,Spiffy,"Apps, Software, Internet Services, Mobile","Morrisville, North Carolina, United States",1/1/14,4/25/17,2500000,Series A,9100000,Operating
6464,6464,Speek,"Software, Mobile","Ashburn, Virginia, United States",1/1/12,3/3/14,5100000,Series A,7950000,Was Acquired
6465,6465,Speakeasy,"Apps, Software","San Francisco, California, United States",2/1/14,5/19/15,5000000,Series A,5000000,Operating
6466,6466,Spaceknow,"Science and Engineering, Data and Analytics, Software, Artificial Intelligence","San Francisco, California, United States",1/1/12,2/8/17,4000000,Series A,5200000,Operating
6467,6467,SourceClear,"Software, Privacy and Security","San Francisco, California, United States",1/1/12,10/27/15,10000000,Series A,11500000,Operating
6468,6468,Soundwall,"Manufacturing, Hardware, Media and Entertainment, Music and Audio, Mobile","Broomfield, Colorado, United States",1/1/13,6/17/16,4992114,Series A,4992114,Operating
6469,6469,Sookasa,"Information Technology, Software, Privacy and Security","San Mateo, California, United States",1/1/12,4/1/14,5000000,Series A,6600000,Was Acquired
6470,6470,Sonder,Travel and Tourism,"San Francisco, California, United States",1/1/12,9/21/16,10000000,Series A,13000000,Operating
6471,6471,Sonavex,"Biotechnology, Science and Engineering, Health Care","Baltimore, Maryland, United States",1/1/13,4/24/17,3500000,Series A,5595192,Operating
6472,6472,Solv,Health Care,"San Francisco, California, United States",1/1/16,4/20/17,6250000,Series A,6250000,Operating
6473,6473,Solovis,"Software, Financial Services","Irving, Texas, United States",1/1/13,5/9/17,8000000,Series A,11500000,Operating
6474,6474,Solinea,"Hardware, Information Technology, Software, Internet Services","San Francisco, California, United States",1/24/13,10/21/15,4000000,Series A,4400000,Operating
6475,6475,SOHA SYSTEMS,"Information Technology, Software, Internet Services, Privacy and Security","Sunnyvale, California, United States",1/1/13,4/7/15,9800000,Series A,9800000,Was Acquired
6476,6476,Soft Robotics Inc.,"Manufacturing, Science and Engineering, Hardware, Software","Cambridge, Massachusetts, United States",6/1/13,12/17/15,5000000,Series A,5000000,Operating
6477,6477,Sofregen Medical,"Data and Analytics, Health Care, Design","Cambridge, Massachusetts, United States",1/1/14,9/15/16,6200000,Series A,6200000,Operating
6478,6478,Socratic,"Community and Lifestyle, Software, Education","New York, New York, United States",1/1/13,3/25/15,6000000,Series A,7500000,Operating
6479,6479,SocialRadar,"Platforms, Media and Entertainment, Navigation and Mapping, Data and Analytics, Software, Internet Services, Mobile","Washington, District of Columbia, United States",5/2/13,6/19/13,12750000,Series A,12750000,Was Acquired
6480,6480,Socialive,"Media and Entertainment, Events, Sales and Marketing, Video, Content and Publishing","Los Angeles, California, United States",1/1/14,6/5/14,1800000,Series A,1800000,Operating
6481,6481,SOCi,"Media and Entertainment, Sales and Marketing, Internet Services","San Diego, California, United States",1/1/12,4/6/17,8500000,Series A,12250000,Operating
6482,6482,SnapTravel,Travel and Tourism,"San Francisco, California, United States",4/1/16,7/24/17,8000000,Series A,9200000,Operating
6483,6483,SnappyData,"Information Technology, Data and Analytics, Software","Portland, Oregon, United States",1/1/15,4/27/16,3650000,Series A,3650000,Operating
6484,6484,SnapMD,"Information Technology, Health Care","Glendale, California, United States",1/1/13,1/9/17,3250000,Series A,9150000,Operating
6485,6485,Smyte,"Apps, Software, Mobile","San Francisco, California, United States",1/1/14,3/28/17,4000000,Series A,6250000,Operating
6486,6486,Smash.gg,Sports,"San Francisco, California, United States",2/1/15,8/2/17,11000000,Series A,14000000,Operating
6487,6487,Smartvid io,"Data and Analytics, Software, Artificial Intelligence","Cambridge, Massachusetts, United States",1/1/15,7/13/17,7000000,Series A,10400000,Operating
6488,6488,SmartThings,"Consumer Electronics, Real Estate, Software, Transportation, Internet Services, Mobile","Palo Alto, California, United States",4/1/12,11/12/13,12500000,Series A,15500000,Was Acquired
6489,6489,"SmartStory Technologies, Inc.","Commerce and Shopping, Media and Entertainment, Information Technology, Software, Sales and Marketing, Video","San Mateo, California, United States",1/1/12,5/2/16,3853268,Series A,13312490,Operating
6490,6490,SmartCare,"Software, Health Care","Las Vegas, Nevada, United States",11/1/13,7/1/16,9600000,Series A,9600000,Operating
6491,6491,SmartAssist,,"Seattle, Washington, United States",1/1/17,8/3/17,5000000,Series A,5000000,Operating
6492,6492,Smart Vision Labs,"Hardware, Software, Health Care, Internet Services, Mobile","New York, New York, United States",1/1/13,6/22/15,6100000,Series A,6100000,Operating
6493,6493,Sliver.tv,"Gaming, Hardware, Software","Cupertino, California, United States",9/1/15,8/23/17,9800000,Series A,36000000,Operating
6494,6494,Slidely,"Media and Entertainment, Information Technology, Music and Audio, Data and Analytics, Software, Internet Services, Video, Content and Publishing, Design, Mobile","New York, New York, United States",1/1/12,8/10/16,5000000,Series A,12300000,Operating
6496,6496,Slantrange,"Agriculture and Farming, Science and Engineering, Hardware, Data and Analytics, Software","San Diego, California, United States",1/1/13,4/28/16,5000000,Series A,8514036,Operating
6497,6497,SlamData,"Data and Analytics, Software","Boulder, Colorado, United States",1/15/14,2/22/17,6700000,Series A,10678838,Operating
6498,6498,Skytree,"Data and Analytics, Software, Artificial Intelligence","San Jose, California, United States",1/1/12,4/30/13,18000000,Series A,21575000,Was Acquired
6499,6499,SkySpecs,"Science and Engineering, Hardware, Consumer Electronics, Software, Consumer Goods","Ann Arbor, Michigan, United States",3/29/12,11/9/15,3000000,Series A,3500000,Operating
6500,6500,SkySafe,"Science and Engineering, Hardware, Consumer Electronics, Software, Consumer Goods, Privacy and Security","San Diego, California, United States",1/1/15,7/20/17,11500000,Series A,14500000,Operating
6501,6501,Skylit Medical,Health Care,"La Jolla, California, United States",1/1/13,4/22/16,400000,Series A,1794690,Operating
6502,6502,Skyline Vet Pharma,,"Groton, Connecticut, United States",1/1/15,4/13/17,5000000,Series A,5000000,Operating
6503,6503,SkyGiraffe,"Platforms, Information Technology, Software, Sales and Marketing, Mobile","San Mateo, California, United States",12/1/12,8/24/16,6000000,Series A,10500000,Operating
6504,6504,SkyFence,"Information Technology, Privacy and Security","Palo Alto, California, United States",1/1/12,2/11/14,3200000,Series A,3200000,Was Acquired
6505,6505,Skydio,"Science and Engineering, Hardware, Navigation and Mapping, Consumer Electronics, Software, Consumer Goods, Mobile","Menlo Park, California, United States",1/1/14,1/5/16,25000000,Series A,28000000,Operating
6506,6506,SKULLY,"Hardware, Consumer Electronics, Software, Government and Military, Transportation","San Francisco, California, United States",2/27/13,2/27/15,11000000,Series A,14950000,Closed
6507,6507,Sketchfab,"Hardware, Software, Financial Services","New York, New York, United States",1/1/12,6/16/15,7000000,Series A,9500000,Operating
6508,6508,Skedulo,"Information Technology, Software","San Francisco, California, United States",7/1/13,11/16/16,9200000,Series A,10960579,Operating
6509,6509,SiteTraker,"Software, Professional Services","Montclair, New Jersey, United States",8/1/14,7/11/17,11000000,Series A,11000000,Operating
